"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1206877","Lu3PbC","Pm3m","-0.568","0","0.000","true","109.687","5","true","242","11.265","cubic",""
"mp-1206121","DyRu3C","Pm3m","-0.215","0","0.000","true","72.054","5","true","","11.009","cubic",""
"mp-1206516","Lu3InC","Pm3m","-0.573","0","0.062","true","109.774","5","true","","9.859","cubic",""
"mp-1213363","EuNpO3","Pnma","-3.427","0","0.000","false","315.581","20","true","","9.197","orthorhombic",""
"mp-1190059","EuHfS3","Pnma","-2.204","0","0.000","true","461.447","20","false","","6.141","orthorhombic",""
"mp-1078802","LaVGe3","P63/mmc","-0.576","0","0.000","true","196.387","10","false","","6.896","hexagonal",""
"mp-1106293","EuZrO3","Pnma","-3.649","0","0.345","false","282.216","20","false","","6.853","orthorhombic",""
"mp-1068661","ZrBRh3","Pm3m","-0.753","0","0.000","true","71.515","5","false","","9.537","cubic",""
"mp-1097916","CsCaCl3","Pm3m","-2.632","0","5.383","true","163.544","5","true","","2.836","cubic",""
"mp-19012","CaMoO3","Pnma","-2.688","0","1.154","false","251.704","20","false","","4.856","orthorhombic",""
"mp-1206894","Lu3AlC","Pm3m","-0.479","0","0.065","true","107.007","5","true","","8.75","cubic",""
"mp-1206443","La3SnC","Pm3m","-0.494","0","0.000","true","142.058","5","true","","6.399","cubic",""
"mp-998761","TlNiF3","Pm3m","-2.125","0","3.551","true","71.115","5","true","","7.474","cubic",""
"mp-1206444","Cs3IO","P63/mmc","-1.386","0","1.514","false","440.266","10","true","","4.086","hexagonal",""
"mp-1207079","SrH3Pd","Pm3m","-0.61","0","0.000","true","57.002","5","true","","5.741","cubic",""
"mp-1206844","RbPaO3","Pm3m","-3.546","0","3.214","true","85.793","5","true","","7.055","cubic",""
"mp-1213256","CsEuCl3","Pnma","-2.592","0","0.000","false","722.691","20","true","","3.596","orthorhombic",""
"mp-20947","CaRuO3","Pnma","-2.224","0","0.000","true","235.307","20","false","","5.339","orthorhombic",""
"mp-1212757","EuCoO3","Pnma","-2.267","0","0.000","false","224.688","20","true","","7.653","orthorhombic",""
"mp-5878","KZnF3","Pm3m","-2.835","0","3.786","true","70.526","5","false","","3.803","cubic",""
"mp-998552","BaHfO3","Pm3m","-3.796","0","3.941","true","74.326","5","true","","8.128","cubic",""
"mp-1206970","KPaO3","Pm3m","-3.572","0","3.274","true","84.417","5","true","","6.258","cubic",""
"mp-1206514","Mg3AsN","Pm3m","-0.811","0","1.335","false","76.392","5","true","","3.518","cubic",""
"mp-4019","CaTiO3","Pnma","-3.567","0","2.305","true","229.15","20","false","","3.94","orthorhombic",""
"mp-1207135","Gd3TlC","Pm3m","-0.419","0","0.000","true","124.311","5","true","","9.192","cubic",""
"mp-1213084","CsSrCl3","Pnma","-2.653","0","5.314","false","732.88","20","true","","2.963","orthorhombic",""
"mp-1188853","CaTcO3","Pnma","-2.468","0","0.000","true","237.832","20","false","","5.197","orthorhombic",""
"mp-1205638","Cs3BrO","P63/mmc","-1.451","0","1.556","false","409.262","10","true","","4.014","hexagonal",""
"mp-1206773","TmRu3C","Pm3m","-0.262","0","0.000","true","71.089","5","true","","11.309","cubic",""
"mp-1206983","Ho3PbC","Pm3m","-0.55","0","0.000","true","116.783","5","true","","10.152","cubic",""
"mp-19281","LaCrO3","Pnma","-3.209","0","2.371","true","245.738","20","false","","6.457","orthorhombic",""
"mp-1205652","TlNiCl3","P63/mmc","-1.138","0","0.573","false","249.341","10","true","","4.921","hexagonal",""
"mp-1208643","SrHfS3","Pnma","-2.206","0","2.046","true","471.9","20","false","","5.1","orthorhombic",""
"mp-1211270","KYbBr3","Pnma","-1.988","0","4.513","false","686.69","20","true","","4.371","orthorhombic",""
"mp-562779","ErCoO3","Pnma","-2.715","0","1.458","true","206.786","20","false","","8.807","orthorhombic",""
"mp-1207518","YbRhO3","Pnma","-2.29","0","0.000","false","226.373","20","true","","9.505","orthorhombic",""
"mp-1207093","LuRu3C","Pm3m","-0.28","0","0.000","true","70.504","5","true","","11.545","cubic",""
"mp-1185576","CsYbI3","Pnma","-1.623","0","3.811","true","933.597","20","false","","4.885","orthorhombic",""
"mp-998762","MnTlF3","Pm3m","-2.619","0","3.108","true","80.408","5","true","","6.532","cubic",""
"mp-1205604","KVCl3","P63/mmc","-1.832","0","0.341","false","263.935","10","true","","2.471","hexagonal",""
"mp-1206772","ThBRh3","Pm3m","-0.898","0","0.000","true","78.726","5","true","","11.634","cubic",""
"mp-1206990","Sm3SnN","Pm3m","-1.076","0","0.000","true","120.097","5","true","","8.072","cubic",""
"mp-1213022","ErRhO3","Pnma","-2.611","0","0.996","false","232.862","20","true","","9.075","orthorhombic",""
"mp-1211643","KCaCl3","Pnma","-2.601","0","5.565","false","587.947","20","true","","2.096","orthorhombic",""
"mp-1206912","Lu3GaC","Pm3m","-0.543","0","0.094","true","105.178","5","true","","9.577","cubic",""
"mp-1206320","RbScCl3","P63/mmc","-2.291","0","0.000","false","288.023","10","true","","2.73","hexagonal",""
"mp-1207629","YRhO3","Pnma","-2.57","0","0.813","false","236.233","20","true","","6.743","orthorhombic",""
"mp-1070599","CsYbCl3","Pm3m","-2.689","0","5.385","true","159.725","5","false","","4.286","cubic",""
"mp-22942","BaBiO3","C2/m","-2.243","0","0.000","true","172.722","10","false","","7.582","monoclinic",""
"mp-19802","TbCoO3","Pnma","-2.684","0","1.422","true","211.848","20","false","","8.336","orthorhombic",""
"mp-4243","CaIrO3","Cmcm","-2.112","0","0.000","true","117.135","10","false","","7.947","orthorhombic",""
"mp-998786","TlPdF3","Pm3m","-1.714","0","0.000","true","82.385","5","true","","7.413","cubic",""
"mp-20090","PrCoO3","Pnma","-2.562","0","1.134","true","233.894","20","false","","7.038","orthorhombic",""
"mp-1209238","RbCaBr3","Pnma","-1.965","0","4.626","false","723.127","20","true","","3.355","orthorhombic",""
"mp-1212884","DyRhO3","Pnma","-2.598","0","0.912","false","236.13","20","true","","8.816","orthorhombic",""
"mp-1080847","Mg3SbN","Pm3m","-0.688","0","0.699","false","83.886","5","true","","4.131","cubic",""
"mp-1207074","Gd3SnC","Pm3m","-0.611","0","0.000","true","121.557","5","true","","8.23","cubic",""
"mp-1069296","Eu3InO","Pm3m","-1.455","0","0.000","true","122.077","5","false","","7.981","cubic",""
"mp-1189927","EuZrS3","Pnma","-2.176","0","0.000","true","470.145","20","false","","4.795","orthorhombic",""
"mp-1207169","CaH3Pd","Pm3m","-0.609","0","0.000","true","51.773","5","true","","4.796","cubic",""
"mp-1209329","PrVO3","Pnma","-3.211","0","1.302","true","249.414","20","false","","6.387","orthorhombic",""
"mp-1206909","CaBPd3","Pm3m","-0.557","0","0.000","true","80.06","5","true","","7.677","cubic",""
"mp-1206922","Ce3SnN","Pm3m","-1.057","0","0.000","true","117.321","5","true","","7.828","cubic",""
"mp-687081","YbCoO3","Pnma","-2.21","0","0.000","true","206.557","20","false","","9.003","orthorhombic",""
"mp-1210555","Mn3SnH","Pm3m","-0.029","0","0.000","true","57.424","5","true","","8.228","cubic",""
"mp-1206123","AlFe3H","Pm3m","-0.201","0","0.000","true","49.942","5","true","","6.501","cubic",""
"mp-1106374","LaLuS3","Pnma","-2.538","0","2.232","true","485.351","20","true","","5.612","orthorhombic",""
"mp-1206878","Tb3GaC","Pm3m","-0.417","0","0.012","true","116.636","5","true","","7.951","cubic",""
"mp-3187","BaCeO3","Pnma","-3.6","0","2.229","true","352.113","20","false","","6.139","orthorhombic",""
"mp-1206820","HoRu3C","Pm3m","-0.231","0","0.000","true","71.696","5","true","","11.121","cubic",""
"mp-1105549","BaHfS3","Pnma","-2.234","0","1.749","true","497.723","20","false","","5.498","orthorhombic",""
"mp-2955","NaMgF3","Pnma","-3.52","0","6.754","true","234.873","20","false","","2.949","orthorhombic",""
"mp-3448","KMgF3","Pm3m","-3.566","0","6.954","true","66.6","5","false","","3.002","cubic",""
"mp-1069270","ZnNi3N","Pm3m","-0.226","0","0.000","true","53.179","5","true","","7.978","cubic",""
"mp-1213104","CsSrBr3","Pnma","-2.03","0","4.558","false","844.87","20","true","","3.618","orthorhombic",""
"mp-1206994","La3SnN","Pm3m","-1.083","0","0.000","true","133.829","5","true","","6.817","cubic",""
"mp-1206822","Pr3SnN","Pm3m","-0.997","0","0.000","true","129.614","5","true","","7.116","cubic",""
"mp-1212108","HoRhO3","Pnma","-2.605","0","0.965","false","233.798","20","true","","8.973","orthorhombic",""
"mp-1206911","ErRu3C","Pm3m","-0.246","0","0.000","true","71.497","5","true","","11.206","cubic",""
"mp-19339","LaNiO3","R3c","-2.406","0","0.000","true","117.617","10","false","","6.935","trigonal",""
"mp-1206127","CeRu3C","Pm3m","-0.242","0","0.000","true","73.344","5","true","","10.309","cubic",""
"mp-1207078","CaNiH3","Pm3m","-0.548","0","0.000","true","44.275","5","false","","3.818","cubic",""
"mp-1079893","BaTiSe3","P63/mmc","-1.487","0","0.000","true","266.545","10","false","","5.259","hexagonal",""
"mp-1207705","TmRhO3","Pnma","-2.624","0","0.956","false","229.41","20","true","","9.26","orthorhombic",""
"mp-1206863","CsCaCl3","I4/mcm","-2.632","0","5.614","false","325.993","10","true","","2.846","tetragonal",""
"mp-559051","BaBiO3","P21/c","-2.243","0","0.077","true","345.397","20","false","","7.583","monoclinic",""
"mp-1211648","KCaBr3","Pnma","-1.954","0","4.593","false","699.752","20","true","","3.027","orthorhombic",""
"mp-1206817","TlVCl3","P63/mmc","-1.456","0.001","0.277","false","268.553","10","true","","4.473","hexagonal",""
"mp-22390","SrRuO3","Pnma","-2.176","0.001","0.000","true","251.985","20","false","","6.239","orthorhombic",""
"mp-23482","BaBiO3","R3","-2.242","0.001","0.079","true","172.409","10","false","","7.595","trigonal",""
"mp-18965","BaCoO3","P63/mmc","-2.106","0.002","0.000","true","273.071","20","false","","5.941","hexagonal",""
"mp-5986","BaTiO3","P4mm","-3.498","0.003","1.830","true","67.36","5","false","","5.749","tetragonal",""
"mp-1207153","Gd3GaC","Pm3m","-0.405","0.004","0.000","true","118.688","5","true","","7.744","cubic",""
"mp-1208626","SrRhO3","Pnma","-2.031","0.004","0.000","false","252.017","20","true","","6.287","orthorhombic",""
"mp-1213318","EuUO3","Pnma","-3.502","0.005","0.000","false","313.722","20","true","","9.273","orthorhombic",""
"mp-22137","DyCoO3","Pnma","-2.662","0.006","1.183","true","219.436","20","false","","8.155","orthorhombic",""
"mp-1068377","CsEuCl3","Pm3m","-2.586","0.007","0.736","true","183.526","5","false","","3.54","cubic",""
"mp-5304","LaAlO3","Pm3m","-3.725","0.007","3.576","true","55.361","5","false","","6.415","cubic",""
"mp-22428","SrCeO3","Pnma","-3.625","0.008","2.306","true","325.374","20","false","","5.629","orthorhombic",""
"mp-1209111","RbSrCl3","P4/mbm","-2.62","0.009","4.901","false","352.86","10","true","","2.63","tetragonal",""
"mp-1213645","CsSrCl3","P4/mbm","-2.644","0.01","5.026","false","373.434","10","true","","2.907","tetragonal",""
"mp-1213688","CsCaI3","Pnma","-1.607","0.01","3.993","false","948.409","20","true","","3.878","orthorhombic",""
"mp-556003","CaTiO3","Imma","-3.556","0.011","2.160","true","115.026","10","false","","3.925","orthorhombic",""
"mp-1205364","CaTiO3","Cmcm","-3.554","0.013","2.140","true","229.696","20","false","","3.931","orthorhombic",""
"mp-1213642","CsSrCl3","Pm3m","-2.641","0.013","5.009","true","188.072","5","true","","2.886","cubic",""
"mp-1212404","HfCdO3","Pnma","-2.956","0.015","2.324","false","255.602","20","true","","8.807","orthorhombic",""
"mp-2998","BaTiO3","Pm3m","-3.487","0.015","1.725","true","65.723","5","false","","5.892","cubic",""
"mp-20570","HoCoO3","Pnma","-2.663","0.016","1.159","true","219.197","20","false","","8.238","orthorhombic",""
"mp-542897","BaIrO3","C2/m","-2.015","0.017","0.000","true","440.307","30","false","","8.543","monoclinic",""
"mp-1210617","MgTlCl3","Pnma","-1.86","0.018","4.042","false","511.7","20","true","","4.349","orthorhombic",""
"mp-1181917","CaRhO3","Pnma","-2.088","0.021","0.000","true","236.188","20","false","","5.371","orthorhombic",""
"mp-566131","KCrF3","P4/mmm","-2.927","0.022","1.185","true","77.096","5","false","","3.19","tetragonal",""
"mp-561954","TmCoO3","Pnma","-2.687","0.022","1.188","true","215.827","20","false","","8.49","orthorhombic",""
"mp-1209937","NdLuO3","Pnma","-3.939","0.023","4.887","false","285.396","20","true","","8.546","orthorhombic",""
"mp-1209227","RbCaBr3","Pm3m","-1.941","0.024","4.142","true","188.792","5","true","","3.213","cubic",""
"mp-1206343","CdNi3C","Pm3m","0.016","0.024","0.000","true","57.788","5","true","","8.635","cubic",""
"mp-555735","CaIrO3","Pnma","-2.088","0.024","0.000","true","235.849","20","false","","7.894","orthorhombic",""
"mp-23438","BaBiO3","Fm3m","-2.218","0.025","0.000","true","173.599","10","false","","7.543","cubic",""
"mp-1078588","BaTaSe3","P63/mmc","-1.281","0.026","0.000","true","271.868","10","false","","6.782","hexagonal",""
"mp-550950","LuCoO3","Pnma","-2.699","0.026","0.000","true","201.768","20","false","","9.28","orthorhombic",""
"mp-4471","ScAlO3","Pnma","-3.679","0.028","4.593","true","191.07","20","false","","4.169","orthorhombic",""
"mp-556892","InBiO3","Pna21","-1.8","0.029","2.755","true","291.075","20","false","","8.484","orthorhombic",""
"mp-849371","CdSnO3","Pnma","-1.831","0.03","0.694","true","253.406","20","false","","7.316","orthorhombic",""
"mp-12948","NaMgF3","Cmcm","-3.489","0.031","6.843","true","114.855","10","false","","3.016","orthorhombic",""
"mp-1209578","RbCoBr3","P3c1","-0.865","0.032","0.000","false","902.003","30","true","","4.243","trigonal",""
"mp-1106224","MnVO3","Pnma","-2.293","0.033","0.316","true","209.749","20","false","","4.873","orthorhombic",""
"mp-1206840","SrRhO3","I4/mcm","-2","0.035","0.000","true","126.553","10","true","","6.259","tetragonal",""
"mp-1190098","CaHfS3","Pnma","-2.168","0.037","1.524","true","441.893","20","false","","4.731","orthorhombic",""
"mp-1206801","RbEuCl3","Pm3m","-2.535","0.037","0.587","true","180.921","5","true","","3.155","cubic",""
"mp-1209191","RbPbCl3","Pm3m","-1.817","0.038","3.091","true","187.451","5","true","","3.535","cubic",""
"mp-1206413","YbRu3C","Pm3m","-0.002","0.039","0.000","true","70.522","5","true","","11.497","cubic",""
"mp-5052","TiCdO3","Pna21","-2.653","0.039","2.416","true","230.057","20","false","","6.013","orthorhombic",""
"mp-561102","InBiO3","Pnma","-1.789","0.04","2.389","true","283.952","20","false","","8.697","orthorhombic",""
"mp-22518","YbMnO3","Pnma","-2.507","0.04","1.104","true","210.34","20","false","","8.715","orthorhombic",""
"mp-1212985","ErScO3","Pnma","-3.981","0.041","4.450","false","246.34","20","true","","7.016","orthorhombic",""
"mp-1209047","RbSrCl3","Pm3m","-2.589","0.041","4.666","true","184.833","5","true","","2.511","cubic",""
"mp-14550","TiCdO3","Pnma","-2.649","0.043","2.122","true","227.387","20","false","","6.084","orthorhombic",""
"mp-1206415","MgNi3B","Pm3m","-0.272","0.044","0.000","false","57.619","5","true","","6.086","cubic",""
"mp-1211589","KCaCl3","Pm3m","-2.555","0.046","4.817","true","156.898","5","true","","1.964","cubic",""
"mp-20472","LaRuO3","Pnma","-2.563","0.046","0.000","true","256.624","20","false","","7.454","orthorhombic",""
"mp-4307","BaIrO3","C2/c","-1.985","0.047","0.000","true","426.188","30","false","","8.826","monoclinic",""
"mp-1206401","LaRh3C","Pm3m","-0.388","0.048","0.000","true","77.687","5","true","","9.824","cubic",""
"mp-1079300","BaZrSe3","P63/mmc","-1.588","0.049","0.000","true","294.589","10","false","","5.247","hexagonal",""
"mp-1207696","TmScO3","Pnma","-3.991","0.049","0.061","false","245.334","20","true","","7.09","orthorhombic",""
"mp-1206323","CsYbH3","Pm3m","-0.456","0.05","3.333","true","98.116","5","true","","5.229","cubic",""
"mp-1213082","ErGaO3","Pnma","-3.157","0.051","3.659","false","223.633","20","true","","8.464","orthorhombic",""
"mp-1212778","GdInO3","Pnma","-2.906","0.051","2.516","false","273.14","20","true","","7.783","orthorhombic",""
"mp-1069774","UBRh3","Pm3m","-0.559","0.055","0.000","true","75.899","5","false","","12.198","cubic",""
"mp-1207537","YbGaO3","Pnma","-2.54","0.057","0.000","false","223.881","20","true","","8.626","orthorhombic",""
"mp-8401","CsMgF3","Pm3m","-3.444","0.058","7.095","true","76.891","5","false","","4.626","cubic",""
"mp-5827","CaTiO3","Pm3m","-3.502","0.064","1.891","true","58.84","5","false","","3.836","cubic",""
"mp-1213810","CeLuO3","Pnma","-3.89","0.067","0.099","false","288.412","20","true","","8.362","orthorhombic",""
"mp-1206518","RbFeCl3","Pm3m","-1.537","0.071","0.000","true","124.176","5","true","","3.312","cubic",""
"mp-1207302","CsPdF3","Pm3m","-2.12","0.073","0.000","true","86.015","5","true","","5.721","cubic",""
"mp-1213788","CeTmO3","Pnma","-3.866","0.074","0.029","false","293.937","20","true","","8.068","orthorhombic",""
"mp-1210746","MnCo3C","Pm3m","0.055","0.075","0.000","true","52.918","5","true","","7.649","cubic",""
"mp-1213970","CaOsO3","Pnma","-2.156","0.076","0.000","false","235.814","20","true","","7.839","orthorhombic",""
"mp-1207172","SrPuO3","Pm3m","-3.339","0.077","0.000","true","83.058","5","true","","7.59","cubic",""
"mp-1080529","SrTiS3","P63/mmc","-1.937","0.082","0.000","true","220.756","10","false","","3.485","hexagonal",""
"mp-20186","PrRuO3","Pnma","-2.485","0.084","0.000","true","252.949","20","false","","7.614","orthorhombic",""
"mp-1213166","CsSmBr3","Pnma","-1.64","0.086","0.000","false","780.599","20","true","","4.45","orthorhombic",""
"mp-18747","SrMoO3","Pm3m","-2.588","0.087","0.000","true","67.946","5","false","","5.659","cubic",""
"mp-1079040","CsDyBr3","P4/mbm","-1.61","0.093","0.000","true","368.306","10","false","","4.825","tetragonal",""
"mp-1206319","RbCoBr3","P63/mmc","-0.804","0.093","0.000","false","302.311","10","true","","4.22","hexagonal",""
"mp-1212729","EuGaO3","Pnma","-2.692","0.094","0.000","false","236.159","20","true","","7.585","orthorhombic",""
"mp-1207183","Mn3AuN","Pm3m","-0.187","0.094","0.000","true","55.874","5","true","","11.168","cubic",""
"mp-1080570","CsNiBr3","P63/mmc","-0.852","0.099","0.000","true","325.005","10","false","","4.407","hexagonal",""
"mp-1206402","Mn3HgN","Pm3m","-0.141","0.108","0.000","true","66.166","5","true","","9.522","cubic",""
"mp-1206517","Cu3PdN","Pm3m","0.027","0.111","0.255","true","58.354","5","true","","8.852","cubic",""
"mp-1209410","RbCoBr3","P3c1","-0.778","0.118","0.000","false","918.655","30","true","","4.166","trigonal",""
"mp-1212795","EuInO3","Pnma","-2.509","0.12","0.000","false","279.617","20","true","","7.477","orthorhombic",""
"mp-1209736","PuCrO3","Pnma","-2.855","0.121","0.000","false","240.192","20","true","","9.513","orthorhombic",""
"mp-1207625","YbCeO3","Pnma","-3.696","0.122","1.809","false","288.35","20","true","","8.319","orthorhombic",""
"mp-1206103","CsTmBr3","P4/mbm","-1.569","0.122","0.000","false","352.344","10","true","","5.104","tetragonal",""
"mp-1207582","YbCrO3","Pnma","-2.671","0.122","0.000","true","213.367","20","false","","8.5","orthorhombic",""
"mp-1209272","RbDyI3","Pnma","-1.208","0.125","0.000","false","860.517","20","true","","4.853","orthorhombic",""
"mp-1209279","RbDyBr3","Pnma","-1.564","0.129","0.000","false","713.998","20","true","","4.537","orthorhombic",""
"mp-1078716","SrMoO3","Imma","-2.538","0.138","0.000","true","134.839","10","false","","5.703","orthorhombic",""
"mp-1207533","YbPrO3","Pnma","-3.189","0.138","0.000","false","303.466","20","true","","7.922","orthorhombic",""
"mp-5660","BaIrO3","Pm3m","-1.889","0.143","0.000","true","67.782","5","false","","9.249","cubic",""
"mp-1211599","KDyBr3","Pnma","-1.548","0.145","0.000","false","682.28","20","true","","4.296","orthorhombic",""
"mp-1206991","GaNi3C","Pm3m","-0.076","0.156","0.000","true","53.821","5","true","","7.954","cubic",""
"mp-3047","MgGeO3","Cmcm","-2.414","0.157","2.499","true","94.995","10","false","","5.067","orthorhombic",""
"mp-1209729","PuVO3","Pnma","-2.866","0.159","0.000","false","243.511","20","true","","9.354","orthorhombic",""
"mp-1209127","RbTmBr3","Pnma","-1.519","0.162","0.000","false","685.019","20","true","","4.791","orthorhombic",""
"mp-1209412","RbCoBr3","P63cm","-0.734","0.163","0.000","false","919.67","30","true","","4.161","hexagonal",""
"mp-1207084","AlNi3C","Pm3m","-0.182","0.165","0.000","true","53.206","5","true","","6.712","cubic",""
"mp-1206715","AlFe3B","Pm3m","-0.147","0.169","0.000","true","55.845","5","true","","6.105","cubic",""
"mp-1213826","CeRhO3","Pnma","-2.565","0.169","0.000","false","251.99","20","true","","7.671","orthorhombic",""
"mp-1211295","KTmBr3","Pnma","-1.498","0.183","0.000","false","663.893","20","true","","4.48","orthorhombic",""
"mp-1188372","UVSe3","Pnma","-0.787","0.186","0.000","true","443.966","20","false","","7.867","orthorhombic",""
"mp-1017626","LiCaF3","Pm3m","-3.632","0.187","6.526","false","53.21","5","true","","3.246","cubic",""
"mp-1207055","Mn3AlN","Pm3m","-0.449","0.189","0.000","true","53.567","5","true","","6.38","cubic",""
"mp-1206560","RbFeCl3","P63/mmc","-1.412","0.195","0.408","false","247.767","10","true","","3.32","hexagonal",""
"mp-1213177","CsTmI3","Pnma","-1.191","0.203","0.000","false","880.107","20","true","","5.151","orthorhombic",""
"mp-3547","MgSiO3","Pnma","-3.03","0.215","5.454","true","167.932","20","false","","3.971","orthorhombic",""
"mp-1079847","CsFeBr3","P63/mmc","-0.821","0.227","0.384","true","309.098","10","false","","4.604","hexagonal",""
"mp-1206988","NbBRh3","Pm3m","-0.285","0.231","0.000","true","69.557","5","true","","9.846","cubic",""
"mp-1207194","Cu3RhN","Pm3m","0.244","0.244","0.000","true","57.012","5","true","","8.958","cubic",""
"mp-1206138","Yb3PbC","Pm3m","-0.105","0.265","0.000","true","125.414","5","true","","9.776","cubic",""
"mp-1206910","CoAgF3","Pm3m","-1.701","0.268","0.000","true","66.183","5","true","","5.615","cubic",""
"mp-1106185","UCrSe3","Pnma","-0.598","0.268","0.000","true","440.191","20","false","","7.951","orthorhombic",""
"mp-1017446","HfCdO3","Pm3m","-2.69","0.28","0.000","true","68.826","5","true","","8.177","cubic",""
"mp-12958","BaSiO3","R3m","-3.119","0.295","3.059","true","184.404","15","false","","5.765","trigonal",""
"mp-1207081","CsTmH3","Pm3m","-0.253","0.319","0.000","true","88.228","5","true","","5.738","cubic",""
"mp-1206360","Yb3AlC","Pm3m","0.182","0.326","0.000","true","127.61","5","true","","7.262","cubic",""
"mp-1212207","InRhO3","Pnma","-1.227","0.333","0.039","false","243.509","20","true","","7.248","orthorhombic",""
"mp-556365","KCrF3","C2/m","-2.614","0.335","1.496","true","155.674","10","false","","3.159","monoclinic",""
"mp-1069346","PrVO3","Pm3m","-2.822","0.389","0.000","false","60.972","5","false","","6.532","cubic",""
"mp-1206130","CrFe3N","Pm3m","0.112","0.393","0.000","true","55.276","5","true","","7.016","cubic",""
"mp-18407","BaSiO3","P63/mmc","-3.005","0.409","2.133","true","350.222","30","false","","6.071","hexagonal",""
"mp-1206985","TiFe3N","Pm3m","-0.345","0.418","0.000","true","52.231","5","true","","7.293","cubic",""
"mp-1207852","VSnO3","Pnma","-1.8","0.431","0.000","false","239.543","20","true","","6.035","orthorhombic",""
"mp-998159","TlFeF3","Pm3m","-2.179","0.505","0.000","true","77.006","5","true","","6.841","cubic",""
"mp-1207091","Cu3RuN","Pm3m","0.524","0.524","0.000","true","58.004","5","true","","8.752","cubic",""
"mp-1190482","MnNCl3","Pnma","-0.239","0.642","0.000","true","437.269","20","false","","2.663","orthorhombic",""
"mp-1017555","CsBeF3","Pm3m","-2.763","0.663","5.385","true","65.711","5","true","","5.027","cubic",""
"mp-1106358","CaNCl3","Pnma","-1.019","0.67","1.483","true","535.505","20","false","","1.99","orthorhombic",""
"mp-1180782","KCrF3","Ibam","-2.94","0.682","0.166","true","154.485","10","false","","3.184","orthorhombic",""
"mp-1105795","CdNF3","Pnma","-0.898","0.697","0.000","true","330.11","20","false","","3.69","orthorhombic",""
"mp-1206341","NdSbO3","Pm3m","-2.085","0.769","0.000","true","78.489","5","true","","6.643","cubic",""
"mp-1207083","FeSnO3","Pm3m","-1.19","0.777","0.000","true","65.245","5","true","","5.664","cubic",""
"mp-1206044","CrCoBr3","P63/mmc","0.146","0.8","0.000","false","258.14","10","true","","4.511","hexagonal",""
"mp-1080799","CuNF3","Pm3m","-0.342","0.852","0.000","true","58.762","5","false","","3.802","cubic",""
"mp-1207179","SmSbO3","Pm3m","-2.027","0.86","0.000","true","77.801","5","true","","6.832","cubic",""
"mp-1206344","MnAgF3","Pm3m","-1.359","0.935","0.000","true","85.761","5","true","","4.256","cubic",""
"mp-1205732","VNCl3","P63/mmc","-0.396","0.957","0.000","false","273.325","10","true","","2.081","hexagonal",""
"mp-1209766","NiAgF3","Pm3m","-0.488","0.985","0.000","true","82.154","5","true","","4.519","cubic",""
"mvc-11152","YSbO3","Pm3m","-1.928","0.996","0.000","true","76.787","5","true","","5.594","cubic",""
"mp-1207389","ZnNF3","Pm3m","-0.665","1.003","0.000","true","63.815","5","true","","3.55","cubic",""
"mp-1207184","DySbO3","Pm3m","-1.905","1.039","0.000","true","76.659","5","true","","7.197","cubic",""
"mp-1078939","MnNF3","Pbam","-1.191","1.042","0.000","true","127.735","10","false","","3.274","orthorhombic",""
"mp-1206915","CoAgF3","Pm3m","-0.91","1.059","0.000","true","84.241","5","true","","4.411","cubic",""
"mp-1207180","HoSbO3","Pm3m","-1.876","1.077","0.000","true","76.565","5","true","","7.259","cubic",""
"mp-1205931","NiNCl3","P63/mmc","0.685","1.158","0.000","false","194.362","10","true","","3.06","hexagonal",""
"mp-1210575","MgAgF3","Pm3m","-1.609","1.2","0.000","false","85.153","5","true","","3.689","cubic",""
"mp-1080474","FeNCl3","P63/mmc","0.312","1.232","0.000","true","225.697","10","false","","2.593","hexagonal",""
"mp-1068795","NiNF3","Pm3m","-0.112","1.395","0.000","true","60.645","5","false","","3.551","cubic",""
"mp-1206753","AlFe3O","Pm3m","0.253","1.451","0.000","true","69.611","5","true","","5.022","cubic",""
"mp-1069129","MnNCl3","Pm3m","0.733","1.637","0.000","true","91.386","5","false","","3.185","cubic",""
"mp-1213745","CoNF3","Pm3m","-0.038","1.642","0.000","true","53.491","5","true","","4.034","cubic",""
"mp-1069166","MnNF3","Pm3m","0.093","2.327","0.000","true","63.191","5","false","","3.309","cubic",""